#,Platform,Category,Website,Submission URL,Cost,DA (Est.),Priority,UTM Source,UTM Medium,UTM Campaign,Full Tracking URL,Link Type,Status,Notes
1,Google Business Profile,Local SEO,business.google.com,https://business.google.com/create,Free,Very High,P1 - Critical,google_gbp,directory,local_seo,https://urbansparklecleaners.ca?utm_source=google_gbp&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"No physical address needed — register as service-area business. Add all 17 cities."
2,HomeStars,Home Services - Canada,homestars.com,https://homestars.com/home-service-pros,Free (Premium available),High,P1 - Critical,homestars,directory,local_seo,https://urbansparklecleaners.ca?utm_source=homestars&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"Canada's #1 home services directory. Competitors Hellamaid & Niagara Regional are already here."
3,Yelp Canada,Review Platform,yelp.ca,https://www.yelp.ca/biz/add,Free,High,P1 - Critical,yelp,directory,local_seo,https://urbansparklecleaners.ca?utm_source=yelp&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"High DA. All major competitors listed. Verify by phone."
4,YellowPages Canada,General Directory,yellowpages.ca,https://businesscentre.yellowpages.ca,Free,Very High,P1 - Critical,yellowpages,directory,local_seo,https://urbansparklecleaners.ca?utm_source=yellowpages&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"Canada's oldest business directory. Very high trust."
5,BBB Canada,Trust & Review,bbb.org,https://www.bbb.org/get-accredited,Free (Accreditation ~$500/yr optional),Very High,P1 - Critical,bbb,directory,local_seo,https://urbansparklecleaners.ca?utm_source=bbb&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"Free basic listing available without accreditation. Adds major trust signal."
6,411.ca,General Directory - Canada,411.ca,https://www.411.ca/business/add,Free,High,P1 - Critical,411ca,directory,local_seo,https://urbansparklecleaners.ca?utm_source=411ca&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"Canadian business directory. Quick submission."
7,Houzz,Home Services,houzz.com,https://www.houzz.com/pro/join,Free (Pro account),High,P2 - High,houzz,directory,home_services,https://urbansparklecleaners.ca?utm_source=houzz&utm_medium=directory&utm_campaign=home_services,DoFollow,Not Started,"Upload before/after cleaning photos. Popular for home services."
8,Angi (HomeAdvisor),Home Services - Lead Gen,angi.com,https://www.angi.com/provider-signup,Free profile,High,P2 - High,angi,directory,home_services,https://urbansparklecleaners.ca?utm_source=angi&utm_medium=directory&utm_campaign=home_services,DoFollow,Not Started,"Lead gen + backlink. List all service areas."
9,Bark.com,Service Marketplace,bark.com,https://www.bark.com/en/ca/pro/,Free profile (pay per lead),Medium-High,P2 - High,bark,directory,lead_gen,https://urbansparklecleaners.ca?utm_source=bark&utm_medium=directory&utm_campaign=lead_gen,DoFollow,Not Started,"Free to list. Pay only for leads. Good for Niagara / Hamilton targeting."
10,Thumbtack,Service Marketplace,thumbtack.com,https://www.thumbtack.com/pro,Free profile,High,P2 - High,thumbtack,directory,lead_gen,https://urbansparklecleaners.ca?utm_source=thumbtack&utm_medium=directory&utm_campaign=lead_gen,DoFollow,Not Started,"Free profile. Popular in Ontario. Add website to profile."
11,TaskRabbit Canada,Home Services,taskrabbit.ca,https://www.taskrabbit.ca/become-a-tasker,Free to list,Medium,P2 - High,taskrabbit,directory,home_services,https://urbansparklecleaners.ca?utm_source=taskrabbit&utm_medium=directory&utm_campaign=home_services,DoFollow,Not Started,"List cleaning as a service. Include website link."
12,Trustpilot,Review Platform,trustpilot.com,https://www.trustpilot.com/evaluate/urbansparklecleaners.ca,Free plan,High,P2 - High,trustpilot,review,reputation,https://urbansparklecleaners.ca?utm_source=trustpilot&utm_medium=review&utm_campaign=reputation,DoFollow,Not Started,"Claim/add company. Then invite clients to review. Hellamaid uses this."
13,ThreeBestRated.ca,Editorial Directory,threebestrated.ca,https://threebestrated.ca/submit-your-business,Free (editorial approval),Medium-High,P2 - High (editorial),threebestrated,editorial,reputation,https://urbansparklecleaners.ca?utm_source=threebestrated&utm_medium=editorial&utm_campaign=reputation,DoFollow,Not Started,"Must EARN listing. Complete all P1 directories + 10+ Google reviews first. Then submit."
14,WhoDoYouVouFor,Review Platform - Canada,whodoyouvoufor.com,https://www.whodoyouvoufor.com,Free,Medium,P3 - Medium,wdyvf,review,reputation,https://urbansparklecleaners.ca?utm_source=wdyvf&utm_medium=review&utm_campaign=reputation,DoFollow,Not Started,"Canadian review platform. Lower DA but builds diversity."
15,Indeed.ca,Job Board - Backlink to /careers,ca.indeed.com,https://ca.indeed.com/hire,Free posting,Very High,P2 - High,indeed,job_board,hiring,https://urbansparklecleaners.ca/careers?utm_source=indeed&utm_medium=job_board&utm_campaign=hiring,DoFollow,Not Started,"Post cleaning jobs. Include link to /careers page. Very high DA backlink."
16,Workopolis,Job Board - Canada,workopolis.com,https://employer.workopolis.com,Free,High,P2 - High,workopolis,job_board,hiring,https://urbansparklecleaners.ca/careers?utm_source=workopolis&utm_medium=job_board&utm_campaign=hiring,DoFollow,Not Started,"Canadian job board. Post cleaning positions."
17,SimplyHired Canada,Job Board,simplyhired.ca,https://www.simplyhired.ca/post-job,Free,High,P2 - High,simplyhired,job_board,hiring,https://urbansparklecleaners.ca/careers?utm_source=simplyhired&utm_medium=job_board&utm_campaign=hiring,DoFollow,Not Started,"InspireClean & Hellamaid get backlinks here."
18,Job Bank (Government of Canada),Job Board - Government,jobbank.gc.ca,https://www.jobbank.gc.ca/employerhome,Free,Very High,P2 - High,jobbank,job_board,hiring,https://urbansparklecleaners.ca/careers?utm_source=jobbank&utm_medium=job_board&utm_campaign=hiring,DoFollow,Not Started,"Government job board. Very high trust and DA."
19,Glassdoor Canada,Job Board + Employer Profile,glassdoor.ca,https://www.glassdoor.ca/employers,Free employer profile,High,P3 - Medium,glassdoor,job_board,hiring,https://urbansparklecleaners.ca/careers?utm_source=glassdoor&utm_medium=job_board&utm_campaign=hiring,DoFollow,Not Started,"Employer profile with website link. Backlink to site."
20,Niagara Falls Chamber of Commerce,Local - Niagara,niagarafallschamber.com,https://niagarafallschamber.com/membership,Membership fee,High (Local),P2 - High,nf_chamber,local,niagara,https://urbansparklecleaners.ca?utm_source=nf_chamber&utm_medium=local&utm_campaign=niagara,DoFollow,Not Started,"Member directory listing. Strong local signal for Niagara Falls targeting."
21,St. Catharines Chamber of Commerce,Local - Niagara,stcatharineschamber.com,https://stcatharineschamber.com/join,Membership fee,High (Local),P2 - High,stcat_chamber,local,niagara,https://urbansparklecleaners.ca?utm_source=stcat_chamber&utm_medium=local&utm_campaign=niagara,DoFollow,Not Started,"Member directory. Important for St. Catharines targeting."
22,Greater Niagara Chamber of Commerce,Local - Niagara,gncc.ca,https://gncc.ca/membership,Membership fee,High (Local),P2 - High,gncc,local,niagara,https://urbansparklecleaners.ca?utm_source=gncc&utm_medium=local&utm_campaign=niagara,DoFollow,Not Started,"Regional chamber covering all Niagara area cities."
23,Burlington Chamber of Commerce,Local - Hamilton Region,burlingtonchamber.ca,https://www.burlingtonchamber.ca/join,Membership fee,High (Local),P2 - High,burl_chamber,local,hamilton,https://urbansparklecleaners.ca?utm_source=burl_chamber&utm_medium=local&utm_campaign=hamilton,DoFollow,Not Started,"Key for Burlington / Oakville targeting."
24,Hamilton Chamber of Commerce,Local - Hamilton,hamiltonbusiness.ca,https://hamiltonbusiness.ca/membership,Membership fee,High (Local),P2 - High,ham_chamber,local,hamilton,https://urbansparklecleaners.ca?utm_source=ham_chamber&utm_medium=local&utm_campaign=hamilton,DoFollow,Not Started,"Member directory for Hamilton business targeting."
25,Niagara This Week,Local Publication - Niagara,niagarathisweek.com,https://www.niagarathisweek.com/contact,Free press release submission,Medium-High,P3 - Medium,niagarathisweek,press,pr,https://urbansparklecleaners.ca?utm_source=niagarathisweek&utm_medium=press&utm_campaign=pr,DoFollow (editorial),Not Started,"Send press release about new service launch. Community news coverage."
26,Niagara Falls Review,Local Publication - Niagara,niagarafallsreview.ca,https://www.niagarafallsreview.ca/contact,Contact for editorial coverage,Medium-High,P3 - Medium,nf_review,press,pr,https://urbansparklecleaners.ca?utm_source=nf_review&utm_medium=press&utm_campaign=pr,DoFollow (editorial),Not Started,"Local newspaper. Pitch business launch story."
27,The Hamilton Spectator,Regional Publication - Hamilton,thespec.com,https://www.thespec.com/contact,Contact for editorial,High,P3 - Medium,ham_spectator,press,pr,https://urbansparklecleaners.ca?utm_source=ham_spectator&utm_medium=press&utm_campaign=pr,DoFollow (editorial),Not Started,"Regional newspaper. Pitch eco-friendly cleaning angle or new service areas."
28,Burlington Post,Local Publication - Burlington,burlingtonpost.com,https://www.burlingtonpost.com/contact,Contact for editorial,Medium,P3 - Medium,burl_post,press,pr,https://urbansparklecleaners.ca?utm_source=burl_post&utm_medium=press&utm_campaign=pr,DoFollow (editorial),Not Started,"Local Burlington newspaper. Pitch new business launch story."
29,InsideHalton (Oakville & Burlington),Local Publication,insidehalton.com,https://www.insidehalton.com/contact,Contact for editorial,Medium-High,P3 - Medium,insidehalton,press,pr,https://urbansparklecleaners.ca?utm_source=insidehalton&utm_medium=press&utm_campaign=pr,DoFollow (editorial),Not Started,"Community news for Oakville and Burlington."
30,The Niagara Independent,Regional Publication,niagaraindependent.ca,https://niagaraindependent.ca/contact,Contact for editorial,Medium,P3 - Medium,niagara_ind,press,pr,https://urbansparklecleaners.ca?utm_source=niagara_ind&utm_medium=press&utm_campaign=pr,DoFollow (editorial),Not Started,"Regional Niagara publication. Pitch eco-friendly or new service expansion story."
31,Canada Business Directory (BDC),General - Government,canadabusiness.ca,https://canadabusiness.ca,Free,High,P3 - Medium,canadabiz,directory,local_seo,https://urbansparklecleaners.ca?utm_source=canadabiz&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"Government-affiliated business resource directory."
32,Cylex Canada,General Directory,cylex.ca,https://www.cylex.ca/add-your-company.html,Free,Medium-High,P3 - Medium,cylex,directory,local_seo,https://urbansparklecleaners.ca?utm_source=cylex&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"Business directory with service categories."
33,n49.com,General Directory - Canada,n49.com,https://www.n49.com/add-business,Free,Medium-High,P3 - Medium,n49,directory,local_seo,https://urbansparklecleaners.ca?utm_source=n49&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"Canadian local business directory."
34,FindHello,Service Provider Directory,findhello.com,https://findhello.com/add-organization,Free,Medium,P4 - Low,findhello,directory,local_seo,https://urbansparklecleaners.ca?utm_source=findhello&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"Service provider directory. Good for diverse backlink profile."
35,Canpages,Canadian Business Directory,canpages.ca,https://www.canpages.ca,Free,Medium-High,P3 - Medium,canpages,directory,local_seo,https://urbansparklecleaners.ca?utm_source=canpages&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"Canadian business directory. Builds NAP consistency."
36,MerchantCircle,Business Network,merchantcircle.com,https://www.merchantcircle.com/signup,Free,Medium,P4 - Low,merchantcircle,directory,local_seo,https://urbansparklecleaners.ca?utm_source=merchantcircle&utm_medium=directory&utm_campaign=local_seo,DoFollow,Not Started,"Business network with profile backlinks."
